PLAYER,TEAM,POSITION,PTS,FG%,3P%,OREB,DREB,AST,STL,BLK,+/-,AST%,AST/TO,OREB%,DREB%,TO RATIO,TS%,USG%,PIE
James Harden,HOU,G,36.1,44.2,36.8,0.8,5.8,7.5,2.0,0.7,4.6,39.4,1.51,2.3,15.7,12.0,61.6,39.6,20.1
Paul George,OKC,F,28.0,43.8,38.6,1.4,6.8,4.1,2.2,0.4,6.4,17.3,1.55,3.3,17.3,8.7,58.3,28.5,16.1
Giannis Antetokounmpo,MIL,F,27.7,57.8,25.6,2.2,10.3,5.9,1.3,1.5,9.1,29.4,1.58,6.6,27.3,12.0,64.4,31.4,21.8
Joel Embiid,PHI,F-C,27.5,48.4,30.0,2.5,11.1,3.7,0.7,1.9,5.8,18.5,1.04,7.5,29.2,11.6,59.3,32.7,19.6
LeBron James,LAL,F,27.4,51.0,33.9,1.0,7.4,8.3,1.3,0.6,2.1,37.6,2.3,2.9,19.3,10.2,58.8,31.1,18.8
Stephen Curry,GSW,G,27.3,47.2,43.7,0.7,4.7,5.2,1.3,0.4,10.0,22.5,1.88,2.0,12.2,9.6,64.1,29.2,15.2
Kawhi Leonard,TOR,F,26.6,49.6,37.1,1.3,6.0,3.3,1.8,0.4,5.9,15.9,1.64,3.9,16.5,7.4,60.6,30.0,17.2
Devin Booker,PHX,G,26.6,46.7,32.6,0.6,3.5,6.8,0.9,0.2,-5.2,32.7,1.64,1.7,9.9,12.3,58.4,32.0,13.4
Kevin Durant,GSW,F,26.0,52.1,35.3,0.4,5.9,5.9,0.7,1.1,8.4,25.1,2.03,1.3,15.3,9.8,63.1,28.3,16.2
Anthony Davis,NOP,F-C,25.9,51.7,33.1,3.1,8.9,3.9,1.6,2.4,2.4,18.6,1.95,8.9,24.9,7.3,59.7,28.8,19.7
Damian Lillard,POR,G,25.8,44.4,36.9,0.9,3.8,6.9,1.1,0.4,6.2,29.9,2.6,2.3,10.0,8.5,58.8,28.1,15.5
Kemba Walker,CHA,G,25.6,43.4,35.6,0.6,3.8,5.9,1.2,0.4,0.4,28.7,2.29,1.7,10.6,8.2,55.8,30.8,14.0
Bradley Beal,WAS,G,25.6,47.5,35.1,1.1,3.9,5.5,1.5,0.7,-1.4,23.3,2.0,2.8,10.4,9.1,58.1,27.7,12.8
Blake Griffin,DET,F,24.5,46.2,36.2,1.3,6.2,5.4,0.7,0.4,0.5,26.8,1.59,3.6,18.2,11.3,58.1,29.6,15.3
Karl-Anthony Towns,MIN,C,24.4,51.8,40.0,3.4,9.0,3.4,0.9,1.6,0.7,16.9,1.08,9.7,25.7,12.0,62.2,28.0,17.7
Kyrie Irving,BOS,G,23.8,48.7,40.1,1.1,3.9,6.9,1.5,0.5,5.0,33.0,2.7,3.1,11.3,8.7,59.2,28.6,15.7
Donovan Mitchell,UTA,G,23.8,43.2,36.2,0.8,3.3,4.2,1.4,0.4,4.8,20.9,1.48,2.2,9.3,9.7,53.7,30.9,11.7
Zach LaVine,CHI,G,23.7,46.7,37.4,0.6,4.0,4.5,1.0,0.4,-4.8,22.4,1.32,1.8,11.3,12.0,57.4,29.8,12.5
Russell Westbrook,OKC,G,22.9,42.8,29.0,1.5,9.6,10.7,1.9,0.5,4.0,44.0,2.41,3.6,25.5,11.7,50.1,30.1,16.4
Klay Thompson,GSW,G,21.5,46.7,40.2,0.5,3.4,2.4,1.1,0.6,4.5,10.3,1.62,1.5,8.9,6.5,57.1,25.4,10.3
Julius Randle,NOP,C-F,21.4,52.4,34.4,2.2,6.5,3.1,0.7,0.6,-0.2,15.8,1.1,6.9,19.8,12.0,60.0,27.3,13.7
LaMarcus Aldridge,SAS,C-F,21.3,51.9,23.8,3.1,6.1,2.4,0.5,1.3,1.1,11.5,1.35,9.6,18.0,7.9,57.6,26.8,14.3
DeMar DeRozan,SAS,G,21.2,48.1,15.6,0.7,5.3,6.2,1.1,0.5,0.1,27.7,2.39,2.0,14.7,9.2,54.2,27.7,13.5
Luka Doncic,DAL,F-G,21.2,42.7,32.7,1.2,6.6,6.0,1.1,0.3,-1.6,31.7,1.74,3.6,19.8,11.9,54.5,29.6,14.9
Jrue Holiday,NOP,G,21.2,47.2,32.5,1.1,3.9,7.7,1.6,0.8,3.4,30.8,2.47,3.0,9.9,10.5,55.5,25.0,12.7
D'Angelo Russell,BKN,G,21.1,43.4,36.9,0.7,3.2,7.0,1.2,0.2,0.3,39.2,2.23,2.0,9.9,10.5,53.3,31.1,14.1
Mike Conley,MEM,G,21.1,43.8,36.4,0.6,2.8,6.4,1.3,0.3,0.3,32.7,3.45,1.7,8.8,7.0,56.9,26.2,15.1
CJ McCollum,POR,G,21.0,45.9,37.5,0.9,3.1,3.0,0.8,0.4,5.0,13.3,1.95,2.5,8.7,6.5,55.3,24.8,10.3
Nikola Vucevic,ORL,C,20.8,51.8,36.4,2.8,9.2,3.8,1.0,1.1,2.7,20.8,1.93,8.8,28.6,8.3,57.3,27.6,18.5
John Wall,WAS,G,20.7,44.4,30.2,0.5,3.2,8.7,1.5,0.9,-4.8,39.1,2.31,1.3,8.7,11.7,52.7,28.6,12.3
Buddy Hield,SAC,G,20.7,45.8,42.7,1.3,3.7,2.5,0.7,0.4,0.0,11.7,1.4,3.6,11.0,8.2,58.7,24.3,11.0
Nikola Jokic,DEN,C,20.1,51.1,30.7,2.9,8.0,7.3,1.4,0.7,3.9,36.1,2.34,8.9,24.9,11.4,58.9,27.1,18.8
Tobias Harris,PHI,F,20.0,48.7,39.7,0.8,7.0,2.8,0.6,0.5,0.2,12.6,1.52,2.4,18.8,8.6,59.2,22.5,13.1
Lou Williams,LAC,G,20.0,42.5,36.1,0.5,2.4,5.4,0.8,0.1,2.6,31.8,2.22,1.9,8.1,9.4,55.4,30.8,14.7
Danilo Gallinari,LAC,F,19.8,46.3,43.3,0.8,5.3,2.6,0.7,0.3,1.5,13.4,1.8,2.7,17.1,7.4,63.3,23.7,14.3
John Collins,ATL,F-C,19.5,56.0,34.8,3.6,6.2,2.0,0.4,0.6,-1.2,10.2,1.01,11.2,19.6,10.2,62.7,23.0,13.6
Trae Young,ATL,G,19.1,41.8,32.4,0.8,2.9,8.1,0.9,0.2,-4.1,39.0,2.12,2.4,9.1,12.9,53.9,27.7,11.9
Victor Oladipo,IND,G,18.8,42.3,34.3,0.6,5.0,5.2,1.7,0.3,3.5,25.0,2.27,1.8,15.4,8.9,51.9,27.8,13.0
Lauri Markkanen,CHI,F,18.7,43.0,36.1,1.4,7.6,1.4,0.7,0.6,-3.8,7.0,0.88,4.3,23.4,8.2,55.3,24.5,12.5
Jimmy Butler,PHI,G-F,18.7,46.2,34.7,1.9,3.4,4.0,1.9,0.6,2.5,17.9,2.77,5.4,9.4,6.7,57.1,21.8,12.6
Kyle Kuzma,LAL,F,18.7,45.6,30.3,0.9,4.6,2.5,0.6,0.4,-0.8,11.3,1.34,2.5,12.7,8.8,54.6,23.3,9.6
Khris Middleton,MIL,F,18.3,44.1,37.8,0.6,5.3,4.3,1.0,0.1,7.2,19.4,1.9,2.1,14.9,9.9,55.8,24.6,11.8
Brandon Ingram,LAL,F,18.3,49.7,33.0,0.8,4.3,3.0,0.5,0.6,-1.1,12.7,1.19,2.2,11.3,11.3,55.5,22.7,9.2
Jamal Murray,DEN,G,18.2,43.7,36.7,0.9,3.4,4.8,0.9,0.4,3.3,22.0,2.3,2.6,10.1,8.9,53.8,24.1,10.8
Andrew Wiggins,MIN,F-G,18.1,41.2,33.9,1.1,3.7,2.5,1.0,0.7,-0.9,10.8,1.33,3.1,9.9,8.3,49.3,24.0,7.8
Tim Hardaway Jr.,DAL,G,18.1,39.3,34.0,0.5,2.9,2.4,0.8,0.1,-6.2,12.5,1.51,1.5,9.0,7.7,52.7,24.6,8.5
JJ Redick,PHI,G,18.1,44.0,39.7,0.3,2.2,2.7,0.4,0.2,4.0,12.9,2.04,0.8,6.2,7.1,60.2,20.9,9.9
Derrick Rose,MIN,G,18.0,48.2,37.0,0.6,2.1,4.3,0.6,0.2,0.7,24.4,2.68,2.2,7.0,7.3,55.7,26.1,12.8
T.J. Warren,PHX,F,18.0,48.6,42.8,0.7,3.3,1.5,1.2,0.7,-5.2,7.3,1.23,2.2,10.8,6.7,58.0,22.1,9.9
Bojan Bogdanovic,IND,F,18.0,49.7,42.5,0.4,3.7,2.0,0.9,0.0,2.2,9.5,1.2,1.3,11.3,9.1,61.3,21.9,11.1
Andre Drummond,DET,C,17.3,53.3,13.2,5.4,10.2,1.4,1.7,1.7,2.2,6.8,0.64,15.1,31.1,11.5,55.5,22.6,15.9
De'Aaron Fox,SAC,G,17.3,45.8,37.1,0.5,3.2,7.3,1.6,0.6,0.8,32.2,2.6,1.5,9.5,10.8,54.4,23.8,11.9
Kevin Love,CLE,F-C,17.0,38.5,36.1,1.5,9.4,2.2,0.3,0.2,-2.5,12.5,1.14,5.1,34.4,10.0,56.1,25.9,14.8
Pascal Siakam,TOR,F,16.9,54.9,36.9,1.6,5.3,3.1,0.9,0.7,7.4,14.1,1.61,5.0,15.4,10.5,62.8,20.5,12.4
Ben Simmons,PHI,G-F,16.9,56.3,0.0,2.2,6.6,7.7,1.4,0.8,1.5,34.1,2.23,6.2,17.9,13.5,58.2,21.5,14.5
Jordan Clarkson,CLE,G,16.8,44.8,32.4,1.0,2.3,2.4,0.7,0.2,-4.3,15.3,1.45,3.5,8.7,8.5,53.9,26.6,10.5
Spencer Dinwiddie,BKN,G,16.8,44.2,33.5,0.4,2.1,4.6,0.6,0.3,-1.2,27.2,2.05,1.3,6.9,10.6,58.0,24.2,11.0
Collin Sexton,CLE,G,16.7,43.0,40.2,0.7,2.2,3.0,0.5,0.1,-8.2,15.4,1.31,2.1,7.2,10.6,52.0,24.7,7.3
Clint Capela,HOU,C,16.6,64.8,0.0,4.4,8.2,1.4,0.7,1.5,3.5,7.0,1.02,13.0,24.1,9.1,65.8,18.0,15.6
Montrezl Harrell,LAC,F-C,16.6,61.5,17.6,2.2,4.3,2.0,0.9,1.3,0.7,12.3,1.23,8.5,14.6,9.8,63.6,22.7,14.0
Josh Richardson,MIA,G-F,16.6,41.2,35.7,0.7,2.9,4.1,1.1,0.5,0.9,17.7,2.64,2.0,7.8,7.4,53.6,20.3,9.4
Harrison Barnes,SAC,F,16.4,42.0,39.5,0.7,3.9,1.5,0.6,0.2,-0.7,6.9,1.17,2.1,11.1,7.3,55.0,20.2,8.8
Deandre Ayton,PHX,C,16.3,58.5,0.0,3.1,7.1,1.8,0.9,0.9,-5.4,9.4,0.99,10.1,24.0,10.5,60.8,21.0,13.9
DeMarcus Cousins,GSW,C,16.3,48.0,27.4,1.4,6.8,3.6,1.3,1.5,2.2,20.6,1.49,5.9,23.2,11.8,56.2,28.1,13.9
Eric Gordon,HOU,G,16.2,40.9,36.0,0.3,1.9,1.9,0.6,0.4,5.1,9.0,1.43,0.7,5.9,7.4,54.9,21.5,7.0
Aaron Gordon,ORL,F,16.0,44.9,34.9,1.7,5.7,3.7,0.7,0.7,1.4,16.6,1.78,4.7,16.5,10.1,53.8,21.3,10.9
Eric Bledsoe,MIL,G,15.9,48.4,32.9,1.1,3.6,5.5,1.5,0.4,7.2,26.0,2.61,3.5,10.8,9.9,57.7,22.5,12.5
Rudy Gobert,UTA,C,15.9,66.9,0.0,3.8,9.0,2.0,0.8,2.3,4.7,9.5,1.24,11.7,27.0,10.5,68.2,17.5,17.0
Jayson Tatum,BOS,F,15.7,45.0,37.3,0.9,5.2,2.1,1.1,0.7,4.6,9.8,1.38,2.8,15.7,8.6,54.7,21.8,10.6
Malcolm Brogdon,MIL,G,15.6,50.5,42.6,1.0,3.5,3.2,0.7,0.2,6.6,15.7,2.25,3.5,10.7,8.2,61.4,20.2,12.0
Jusuf Nurkic,POR,C,15.6,50.8,10.3,3.4,7.0,3.2,1.0,1.4,5.9,16.8,1.39,11.9,24.1,12.1,57.0,24.1,14.6
Chris Paul,HOU,G,15.6,41.9,35.8,0.6,3.9,8.2,2.0,0.3,5.2,38.2,3.11,1.9,12.3,10.6,56.0,22.0,13.8
Jonas Valanciunas,MEM,C,15.6,55.9,29.2,2.2,6.4,1.4,0.4,1.1,1.4,10.9,0.78,9.6,26.8,11.5,61.6,27.4,16.9
Dennis Schroder,OKC,G,15.5,41.4,34.1,0.5,3.1,4.1,0.8,0.2,2.1,20.9,1.88,1.5,10.2,10.1,50.8,23.8,9.3
Reggie Jackson,DET,G,15.4,42.1,36.9,0.5,2.1,4.2,0.7,0.1,0.5,24.1,2.32,1.9,7.6,9.1,54.7,23.7,10.0
Jeremy Lamb,CHA,G,15.3,44.0,34.8,0.8,4.7,2.2,1.1,0.4,0.6,11.9,2.15,2.7,15.9,6.0,55.2,22.0,11.8
Kelly Oubre Jr.,PHX,F,15.2,44.5,32.0,1.0,3.7,1.2,1.2,0.9,-4.0,6.7,0.82,3.5,12.6,9.1,55.1,22.3,9.4
Nikola Mirotic,MIL,F,15.2,43.9,36.5,1.3,6.1,1.2,0.7,0.7,2.6,6.1,1.15,4.5,19.8,6.9,58.4,20.6,11.6
Evan Fournier,ORL,G-F,15.1,43.8,34.0,0.5,2.7,3.6,0.9,0.1,1.2,17.0,1.92,1.4,8.6,9.7,53.6,21.7,7.7
Terrence Ross,ORL,G-F,15.1,42.8,38.3,0.3,3.1,1.7,0.9,0.4,0.1,10.3,1.5,1.2,11.3,6.9,56.1,23.0,11.0
Dwyane Wade,MIA,G,15.0,43.3,33.0,1.0,3.0,4.2,0.8,0.5,-0.9,26.4,1.81,3.3,10.6,10.8,51.0,26.9,11.5
Serge Ibaka,TOR,C-F,15.0,52.9,29.0,2.1,6.0,1.3,0.4,1.4,3.5,7.6,0.88,7.8,20.4,9.7,58.2,22.7,12.3
Marvin Bagley III,SAC,F,14.9,50.4,31.3,2.6,5.0,1.0,0.5,1.0,-1.7,6.0,0.63,9.2,18.0,9.9,56.2,23.7,12.4
Emmanuel Mudiay,NYK,G,14.8,44.6,32.9,0.6,2.8,3.9,0.7,0.3,-6.1,24.2,1.63,1.9,9.8,11.8,53.1,24.8,9.8
Jabari Parker,WAS,F,14.5,49.3,31.3,1.2,5.3,2.4,0.7,0.5,-3.2,14.0,1.01,4.5,18.7,13.4,56.0,23.6,11.1
Kyle Lowry,TOR,G,14.2,41.1,34.7,0.6,4.2,8.7,1.4,0.5,8.2,32.9,3.1,1.9,11.4,11.6,56.2,19.1,11.5
Bobby Portis,WAS,F,14.2,44.4,39.3,2.2,5.9,1.4,0.7,0.4,-2.2,8.5,0.97,8.3,22.6,9.1,52.9,24.1,10.6
Bogdan Bogdanovic,SAC,G,14.1,41.8,36.0,0.6,2.9,3.8,1.0,0.2,-0.6,19.9,2.28,1.9,9.8,8.9,53.0,22.0,9.9
Domantas Sabonis,IND,F,14.1,59.0,52.9,2.5,6.8,2.9,0.6,0.4,2.6,18.0,1.33,9.9,26.9,13.4,63.0,22.6,16.2
Marcus Morris Sr.,BOS,F,13.9,44.7,37.5,1.0,5.1,1.5,0.6,0.3,1.0,7.3,1.18,3.5,17.6,8.2,56.8,20.3,9.9
Otto Porter Jr.,CHI,F,13.9,46.5,40.6,1.0,4.6,2.1,1.5,0.6,-0.4,10.0,1.85,3.1,15.3,7.5,56.9,18.5,10.3
Steven Adams,OKC,C,13.9,59.5,0.0,4.9,4.6,1.6,1.5,1.0,4.9,6.3,0.92,12.9,13.3,11.2,59.1,16.0,10.3
Jaren Jackson Jr.,MEM,F-C,13.8,50.6,35.9,1.3,3.4,1.1,0.9,1.4,-1.8,7.4,0.65,4.9,13.2,11.7,59.1,23.1,10.0
Goran Dragic,MIA,G,13.7,41.3,34.8,0.6,2.5,4.8,0.8,0.1,1.2,25.9,2.45,1.9,8.7,9.9,51.7,22.4,9.6
Rudy Gay,SAS,F,13.7,50.4,40.2,0.9,5.9,2.6,0.8,0.5,2.3,14.5,1.6,3.4,20.9,10.3,58.3,21.6,12.8
Joe Harris,BKN,F-G,13.7,50.0,47.4,0.7,3.1,2.4,0.5,0.2,-1.0,11.4,1.5,2.2,9.6,10.9,64.5,16.7,8.9
Caris LeVert,BKN,G,13.7,42.9,31.2,0.9,2.9,3.9,1.1,0.4,-0.3,23.1,2.26,3.0,10.0,9.1,50.9,23.5,10.3
Enes Kanter,POR,C,13.7,54.9,29.4,3.8,6.0,1.7,0.5,0.4,-2.8,12.0,0.98,13.8,24.5,11.8,59.4,21.9,15.2
Jerami Grant,OKC,F,13.6,49.7,39.2,1.2,4.0,1.0,0.8,1.3,3.8,4.0,1.18,3.2,11.8,6.3,59.2,15.0,8.4
Dennis Smith Jr.,NYK,G,13.6,42.8,32.2,0.6,2.3,4.8,1.3,0.4,-2.9,27.8,1.64,2.0,7.5,13.7,50.2,24.2,8.4
Al Horford,BOS,C-F,13.6,53.5,36.0,1.8,5.0,4.2,0.9,1.3,3.8,20.3,2.77,6.2,16.1,8.9,60.5,18.8,13.4
Marc Gasol,TOR,C,13.6,44.8,36.3,1.0,6.9,4.4,1.1,1.1,2.0,22.2,2.25,3.4,22.7,10.4,54.6,21.0,13.1
Taurean Prince,ATL,F,13.5,44.1,39.0,0.4,3.2,2.1,1.0,0.3,-4.4,10.7,1.18,1.3,11.0,11.7,57.5,19.0,7.5
Carmelo Anthony,HOU,F,13.4,40.5,32.8,0.9,4.5,0.5,0.4,0.7,-6.3,2.8,0.63,2.7,15.8,5.6,51.3,19.9,7.4
Myles Turner,IND,C-F,13.3,48.7,38.8,1.4,5.8,1.6,0.8,2.7,1.6,8.3,1.15,4.8,19.5,9.2,56.7,19.9,11.9
Robert Covington,MIN,F,13.3,43.1,37.8,0.8,4.7,1.3,2.1,1.3,1.8,5.5,0.98,2.2,12.7,9.6,58.0,15.4,8.3
Cedi Osman,CLE,F,13.0,42.7,34.8,0.6,4.1,2.6,0.8,0.1,-8.4,12.0,1.71,1.8,13.4,9.3,53.6,18.2,7.5
Jaylen Brown,BOS,G,13.0,46.5,34.4,0.9,3.4,1.4,0.9,0.4,0.9,7.9,1.01,3.2,12.2,9.1,54.7,21.5,8.4
Gary Harris,DEN,G,12.9,42.4,33.9,0.7,2.1,2.2,1.0,0.3,4.0,11.0,1.87,2.4,7.0,7.6,52.6,19.5,7.6
Kevin Knox II,NYK,F,12.8,37.0,34.3,0.8,3.7,1.1,0.6,0.3,-8.5,6.0,0.72,2.5,12.0,9.4,47.5,21.9,5.5
Ricky Rubio,UTA,G,12.7,40.4,31.1,0.5,3.1,6.1,1.3,0.1,3.7,31.3,2.31,1.7,10.7,12.7,52.0,22.1,10.3
Thaddeus Young,IND,F,12.6,52.7,34.9,2.4,4.1,2.5,1.5,0.4,1.7,12.0,1.66,7.8,13.2,10.0,56.9,17.9,10.4
Paul Millsap,DEN,F,12.6,48.4,36.5,2.2,5.0,2.0,1.2,0.8,4.9,10.4,1.48,7.8,18.2,9.4,57.0,19.1,11.3
Justise Winslow,MIA,F-G,12.6,43.3,37.5,1.0,4.4,4.3,1.1,0.3,1.8,21.3,1.99,3.1,14.1,11.5,51.3,20.6,9.7
Trevor Ariza,WAS,F,12.5,39.9,33.4,0.7,4.7,3.7,1.3,0.3,-4.8,14.9,2.38,2.1,13.9,9.2,53.4,16.4,8.5
Brook Lopez,MIL,C,12.5,45.2,36.5,0.4,4.5,1.2,0.6,2.2,7.2,5.5,1.2,1.4,13.5,8.0,59.7,16.5,8.8
Hassan Whiteside,MIA,C,12.3,57.1,12.5,3.6,7.8,0.8,0.6,1.9,0.3,5.4,0.58,13.9,30.5,10.4,56.4,21.5,16.2
Jeff Green,WAS,F,12.3,47.5,34.7,0.7,3.3,1.8,0.6,0.5,-1.2,9.3,1.36,2.7,11.7,10.0,60.8,17.4,8.8
Wesley Matthews,IND,G-F,12.2,40.0,37.2,0.5,2.0,2.3,0.8,0.2,-1.3,11.3,1.76,1.5,6.3,8.9,54.6,17.5,6.2
Jeff Teague,MIN,G,12.1,42.3,33.3,0.4,2.1,8.2,1.0,0.4,0.0,36.6,3.54,1.2,6.7,10.5,52.8,18.6,10.3
Joe Ingles,UTA,F,12.1,44.8,39.1,0.4,3.6,5.7,1.2,0.2,5.2,26.2,2.43,1.3,10.8,12.7,58.1,17.0,10.4
Dion Waiters,MIA,G,12.0,41.4,37.7,0.2,2.5,2.8,0.7,0.2,-0.9,16.4,1.89,0.6,9.4,9.4,53.0,21.3,8.3
JaVale McGee,LAL,C,12.0,62.4,8.3,2.6,4.9,0.7,0.6,2.0,-2.1,4.5,0.48,11.2,20.3,12.5,63.4,19.7,12.7
E'Twaun Moore,NOP,G,11.9,48.1,43.2,0.7,1.7,1.9,0.8,0.2,0.2,9.3,1.73,2.3,5.8,8.2,56.7,17.0,6.7
Willie Cauley-Stein,SAC,C,11.9,55.6,50.0,2.2,6.1,2.4,1.2,0.6,0.7,12.1,2.31,7.4,21.3,7.4,56.6,17.3,11.8
Jae Crowder,UTA,F,11.9,39.9,33.1,0.8,4.1,1.7,0.8,0.4,2.8,9.0,1.56,2.7,13.9,7.7,53.8,18.3,8.6
Derrick Favors,UTA,F-C,11.8,58.6,21.8,2.7,4.6,1.2,0.7,1.4,2.4,7.9,1.06,11.5,18.8,9.4,62.4,18.8,14.2
