PLAYER,TEAM,POSITION,FGM_<5,FG%_<5,FGM_5-9,FG%_5-9,FGM_10-14,FG%_10-14,FGM_15-19,FG%_15-19,FGM_20-24,FG%_20-24,FGM_25-29,FG%_25-29
Landry Shamet,LAC,G,0.6,53.5,0.1,45.5,0.1,36.0,0.1,30.0,0.8,42.7,1.4,41.5
Terry Rozier,BOS,G,1.0,53.4,0.2,34.5,0.2,32.8,0.2,32.7,0.7,38.5,0.9,32.9
Ish Smith,DET,G,1.5,57.4,0.4,30.8,0.3,38.6,0.6,42.2,0.4,35.1,0.5,32.9
Malik Monk,CHA,G,1.1,58.8,0.1,19.4,0.2,40.0,0.2,37.2,0.5,30.5,1.0,35.4
Rondae Hollis-Jefferson,BKN,F,2.6,50.0,0.4,32.4,0.2,25.5,0.1,28.6,0.1,20.5,0.0,10.0
Ivica Zubac,LAC,C,3.2,60.5,0.3,37.5,0.1,50.0,0.0,16.7,0.0,0.0,0.0,0.0
Bam Adebayo,MIA,C-F,2.8,67.7,0.2,33.9,0.3,37.5,0.1,44.4,0.0,0.0,0.0,42.9
Tomas Satoransky,WAS,G-F,1.6,62.6,0.5,54.3,0.2,25.0,0.1,29.7,0.5,45.0,0.4,36.7
Marcus Smart,BOS,G,0.9,63.0,0.2,36.4,0.1,38.5,0.1,30.0,0.7,38.4,1.0,36.2
Mario Hezonja,NYK,F,1.7,52.9,0.2,31.6,0.3,48.6,0.2,43.3,0.3,23.1,0.6,33.3
Alec Burks,SAC,G,1.5,55.5,0.2,23.9,0.1,26.7,0.2,25.5,0.4,38.1,0.7,36.6
Delon Wright,MEM,G,2.2,57.9,0.2,28.8,0.1,25.0,0.1,28.6,0.3,32.3,0.4,29.7
Frank Kaminsky,CHA,F-C,1.4,65.3,0.5,51.2,0.1,25.0,0.0,0.0,0.2,25.0,0.9,38.7
Norman Powell,TOR,F-G,1.7,60.4,0.2,56.0,0.0,12.5,0.1,31.8,0.6,48.1,0.5,34.1
Kyle Korver,UTA,G-F,0.2,75.0,0.1,40.0,0.1,41.2,0.2,45.5,1.3,43.5,0.9,36.3
Trey Lyles,DEN,F,1.7,65.0,0.4,35.8,0.2,34.1,0.1,56.3,0.5,30.6,0.4,21.5
Rodions Kurucs,BKN,F,2.2,59.4,0.0,15.0,0.0,28.6,0.0,50.0,0.4,34.6,0.5,30.5
Langston Galloway,DET,G,0.5,52.4,0.2,35.1,0.1,28.0,0.3,46.2,1.0,41.3,0.7,30.7
Noah Vonleh,NYK,F,1.8,56.4,0.5,49.2,0.0,37.5,0.1,35.7,0.2,33.3,0.5,34.0
DeAndre' Bembry,ATL,F,2.4,58.2,0.2,27.4,0.1,33.3,0.0,25.0,0.2,22.4,0.4,35.2
Mikal Bridges,PHX,F,1.4,63.3,0.1,33.3,0.1,28.6,0.0,36.4,0.7,32.2,0.6,35.3
Bruno Caboclo,MEM,F,1.2,56.8,0.1,20.0,0.0,0.0,0.0,100.0,0.8,37.3,0.6,40.0
Darius Miller,NOP,F,0.2,68.4,0.1,40.0,0.2,44.4,0.3,43.8,0.8,38.8,1.2,35.4
Jahlil Okafor,NOP,C,2.7,66.4,0.7,44.9,0.3,46.7,0.1,50.0,0.0,0.0,0.0,33.3
Richaun Holmes,PHX,F-C,2.7,69.0,0.3,38.7,0.2,37.9,0.0,0.0,0.0,0.0,0.0,0.0
Markelle Fultz,ORL,G,1.9,56.1,0.3,40.0,0.6,34.4,0.3,20.0,0.2,40.0,0.1,50.0
Austin Rivers,HOU,G,1.3,57.8,0.3,42.4,0.1,31.3,0.0,33.3,0.5,33.6,0.9,31.7
Frank Jackson,NOP,G,1.7,62.0,0.3,34.6,0.2,41.9,0.1,26.9,0.5,28.6,0.4,34.2
Isaiah Thomas,DEN,G,1.0,48.0,0.4,31.3,0.3,25.0,0.2,66.7,0.3,20.0,0.7,34.8
Kyle Anderson,MEM,F,2.2,65.3,0.6,49.1,0.1,38.5,0.2,40.9,0.3,46.4,0.0,8.3
Davis Bertans,SAS,F,0.4,70.7,0.1,29.2,0.1,47.8,0.1,50.0,0.5,47.6,1.4,42.0
Jamal Crawford,PHX,G,0.2,50.0,0.1,32.0,0.5,49.2,0.8,50.0,0.4,27.7,0.7,35.9
Seth Curry,POR,G,0.5,54.5,0.1,45.8,0.2,50.0,0.4,47.8,0.8,39.7,0.8,44.4
Josh Hart,LAL,G,1.3,61.6,0.0,16.7,0.1,21.7,0.1,33.3,0.6,35.5,0.8,32.5
Garrett Temple,LAC,G-F,1.1,65.6,0.1,30.8,0.1,41.7,0.2,39.0,0.7,33.1,0.5,32.8
James Johnson,MIA,F,1.7,61.9,0.2,27.9,0.1,23.8,0.1,40.0,0.4,32.9,0.5,34.2
Ante Zizic,CLE,C,2.4,63.3,0.3,34.5,0.3,45.5,0.1,35.3,0.0,0.0,0.0,0.0
Mason Plumlee,DEN,F-C,2.7,67.1,0.3,37.1,0.1,48.0,0.0,33.3,0.0,37.5,0.0,0.0
Josh Okogie,MIN,G,1.4,56.4,0.1,18.8,0.1,40.9,0.2,28.6,0.5,27.8,0.4,29.5
Maurice Harkless,POR,F,2.4,63.2,0.2,34.6,0.0,40.0,0.0,0.0,0.4,27.1,0.2,29.7
Patrick Beverley,LAC,G,0.7,46.4,0.2,38.0,0.0,25.0,0.0,25.0,0.6,40.4,0.9,39.2
George Hill,MIL,G,1.3,59.8,0.1,46.2,0.3,44.1,0.3,51.5,0.4,37.7,0.5,30.0
Rodney McGruder,LAC,F-G,1.1,57.6,0.3,31.8,0.2,32.4,0.0,50.0,0.7,34.4,0.5,34.3
Jake Layman,POR,F,1.8,72.6,0.1,42.9,0.1,50.0,0.1,40.0,0.4,26.9,0.5,39.8
Shelvin Mack,CHA,G,1.2,55.9,0.4,36.7,0.2,31.0,0.2,28.6,0.2,24.5,0.6,40.0
Dorian Finney-Smith,DAL,F,1.6,59.5,0.1,31.6,0.0,30.0,0.1,38.1,0.5,33.3,0.5,29.7
Dillon Brooks,MEM,G-F,1.2,46.7,0.3,35.7,0.2,33.3,0.2,33.3,0.3,31.3,0.7,42.9
Iman Shumpert,HOU,G,0.6,60.0,0.0,16.7,0.1,26.3,0.3,33.9,1.0,37.8,0.7,31.7
Chandler Parsons,MEM,F,0.9,51.2,0.2,50.0,0.1,23.1,0.2,42.9,0.6,31.8,0.6,29.6
Miles Bridges,CHA,F,1.9,62.7,0.2,33.3,0.1,37.5,0.0,14.3,0.5,32.7,0.4,35.4
Vince Carter,ATL,F-G,0.6,56.8,0.1,28.6,0.2,46.4,0.1,41.7,0.6,45.4,1.0,35.8
Draymond Green,GSW,F,1.7,65.7,0.2,33.3,0.1,36.0,0.1,33.3,0.2,33.3,0.5,27.2
Dwayne Bacon,CHA,G-F,1.5,67.0,0.2,24.1,0.3,35.7,0.1,26.3,0.4,43.2,0.5,45.1
Mitchell Robinson,NYK,C,3.0,69.8,0.0,66.7,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Blakeney,CHI,G,0.8,57.5,0.5,47.3,0.6,37.6,0.4,27.5,0.7,49.3,0.2,26.3
P.J. Tucker,HOU,F,0.6,49.5,0.1,28.6,0.1,55.6,0.0,0.0,1.4,38.0,0.4,37.5
Doug McDermott,IND,F,1.1,66.9,0.1,58.8,0.1,46.2,0.1,28.2,0.6,45.4,0.6,39.3
Dirk Nowitzki,DAL,F,0.1,66.7,0.1,27.3,0.5,52.2,0.5,37.1,0.5,32.5,0.9,32.9
Willy Hernangomez,CHA,C,1.9,58.4,0.4,40.4,0.1,62.5,0.0,20.0,0.0,18.2,0.2,44.8
Lance Stephenson,LAL,G,1.1,56.3,0.0,7.7,0.1,45.5,0.4,45.0,0.6,36.6,0.6,37.5
Justin Jackson,DAL,F,0.9,76.3,0.4,43.3,0.2,36.2,0.1,36.7,0.6,36.2,0.5,36.5
Luol Deng,MIN,F,1.6,71.4,0.1,60.0,0.2,40.0,0.1,28.6,0.5,36.4,0.1,23.1
Joakim Noah,MEM,C,2.4,60.2,0.1,22.2,0.0,0.0,0.0,16.7,0.1,33.3,0.0,0.0
Harry Giles III,SAC,F-C,1.9,62.2,0.6,43.6,0.3,40.4,0.2,33.3,0.1,25.0,0.0,0.0
Derrick Jones Jr.,MIA,F-G,2.1,61.6,0.1,15.0,0.1,42.9,0.0,50.0,0.4,33.3,0.1,22.2
Mike Muscala,LAL,F-C,0.6,57.1,0.1,45.5,0.1,50.0,0.1,53.8,0.4,30.0,1.0,37.1
Luke Kornet,NYK,F-C,0.5,55.8,0.1,27.3,0.2,30.8,0.0,0.0,0.6,48.0,1.0,31.7
OG Anunoby,TOR,F,1.6,63.1,0.0,18.8,0.0,37.5,0.0,50.0,0.6,32.0,0.4,34.5
Terrance Ferguson,OKC,G,0.9,69.1,0.0,25.0,0.0,30.0,0.0,12.5,1.0,37.3,0.5,35.0
Pat Connaughton,MIL,G,1.4,69.7,0.1,50.0,0.0,0.0,0.1,62.5,0.3,32.1,0.8,33.1
Tyus Jones,MIN,G,0.9,52.6,0.5,47.4,0.4,38.2,0.1,25.0,0.5,40.0,0.3,30.2
Stanley Johnson,NOP,F,1.0,49.6,0.3,53.8,0.2,41.9,0.1,50.0,0.5,30.2,0.4,27.4
Quinn Cook,GSW,G,0.7,55.2,0.2,55.0,0.2,35.6,0.6,61.8,0.5,45.3,0.8,37.3
Dante Exum,UTA,G,1.6,50.8,0.3,28.2,0.1,66.7,0.0,50.0,0.4,34.1,0.1,16.7
Wayne Selden,CHI,G-F,1.0,51.8,0.3,37.3,0.2,34.6,0.3,52.3,0.4,37.8,0.4,28.0
Maxi Kleber,DAL,F,1.0,64.3,0.1,55.6,0.1,39.1,0.0,20.0,0.5,34.0,0.6,38.1
Brandon Knight,CLE,G,0.6,53.5,0.1,20.8,0.2,27.3,0.4,65.2,0.4,37.8,0.7,31.9
Evan Turner,POR,G-F,1.3,60.8,0.3,33.8,0.6,44.6,0.4,49.2,0.1,24.4,0.0,10.5
Ersan Ilyasova,MIL,F,1.3,59.2,0.1,14.8,0.1,41.2,0.1,31.3,0.3,35.9,0.6,36.9
JR Smith,CLE,G-F,0.2,50.0,0.2,50.0,0.3,33.3,0.6,41.2,0.5,31.3,0.8,29.6
Ryan Arcidiacono,CHI,G,0.6,56.8,0.4,47.5,0.2,54.8,0.1,57.1,0.4,40.4,0.6,35.3
James Ennis III,PHI,F,1.3,62.3,0.1,50.0,0.0,50.0,0.0,0.0,0.7,38.8,0.3,29.1
Ian Clark,NOP,G,0.6,54.8,0.4,40.7,0.3,57.7,0.1,42.1,0.6,34.0,0.7,30.7
Michael Kidd-Gilchrist,CHA,F,1.6,57.9,0.2,34.1,0.1,27.3,0.2,55.0,0.3,38.5,0.0,27.3
Zach Collins,POR,F-C,1.6,61.2,0.2,57.7,0.1,23.1,0.0,11.1,0.2,31.5,0.3,31.9
MarShon Brooks,MEM,G,1.2,76.1,0.3,33.3,0.4,46.2,0.2,35.7,0.3,33.3,0.3,24.4
David Nwaba,CLE,G,1.5,59.5,0.4,40.9,0.2,60.0,0.0,0.0,0.3,36.4,0.2,26.7
Cory Joseph,IND,G,0.8,59.6,0.3,37.9,0.4,44.6,0.5,39.4,0.3,34.2,0.5,33.0
Johnathan Williams,LAL,F,2.6,69.0,0.1,20.0,0.0,0.0,0.1,50.0,0.0,0.0,0.0,0.0
Jonathon Simmons,PHI,F,1.1,52.2,0.4,39.3,0.2,32.1,0.2,26.3,0.3,33.3,0.3,25.9
Shaquille Harrison,CHI,G,1.9,53.5,0.2,32.6,0.1,23.8,0.0,9.1,0.1,27.0,0.2,29.4
Sterling Brown,MIL,G,1.4,58.2,0.1,46.7,0.1,50.0,0.1,50.0,0.6,50.7,0.3,23.4
CJ Miles,MEM,F-G,0.4,44.0,0.1,28.6,0.1,41.2,0.1,38.9,0.8,45.9,0.6,26.2
Gorgui Dieng,MIN,C,1.0,67.3,0.2,41.9,0.3,43.1,0.5,48.8,0.5,41.3,0.0,14.3
T.J. McConnell,PHI,G,1.0,66.1,0.5,50.0,0.7,45.5,0.5,55.4,0.2,43.3,0.1,25.0
Devin Harris,DAL,G,0.8,55.3,0.1,37.5,0.0,28.6,0.1,33.3,0.5,38.6,0.5,27.8
Jonas Jerebko,GSW,F,0.9,60.7,0.1,35.7,0.1,58.3,0.2,52.0,0.4,42.1,0.5,32.5
Omri Casspi,MEM,F,1.7,67.4,0.3,39.1,0.0,0.0,0.0,0.0,0.1,41.7,0.3,34.5
Cameron Payne,CLE,G,1.0,56.7,0.4,55.6,0.3,40.0,0.1,40.0,0.4,40.0,0.4,25.9
Kevon Looney,GSW,C-F,2.4,68.6,0.1,22.2,0.1,58.3,0.2,58.3,0.0,23.1,0.0,25.0
Troy Daniels,PHX,G,0.2,40.7,0.1,63.6,0.1,57.1,0.2,42.3,0.7,46.2,0.9,34.9
Mo Bamba,ORL,C,1.5,72.6,0.2,32.0,0.0,14.3,0.3,48.4,0.2,28.1,0.3,31.1
Tyler Dorsey,MEM,G,0.9,53.8,0.2,43.8,0.0,22.2,0.2,36.8,0.4,33.3,0.7,35.6
Jerryd Bayless,MIN,G,0.7,46.9,0.1,25.0,0.1,17.6,0.5,51.5,0.6,32.3,0.5,29.1
Sam Dekker,WAS,F,2.0,60.5,0.0,7.7,0.1,27.3,0.1,57.1,0.2,27.3,0.2,28.9
Kenrich Williams,NOP,G-F,1.0,55.3,0.0,14.3,0.1,37.5,0.0,15.4,0.5,28.6,0.7,37.2
Cheick Diallo,NOP,F,1.7,71.1,0.5,55.9,0.3,47.2,0.2,52.6,0.0,16.7,0.0,100.0
Isaiah Canaan,MIL,G,0.7,44.4,0.0,16.7,0.1,42.9,0.1,80.0,0.5,37.5,0.7,35.6
Henry Ellenson,NYK,F,0.8,51.6,0.1,7.7,0.2,42.9,0.1,40.0,0.4,36.8,0.5,50.0
Tony Snell,MIL,G,0.9,64.2,0.1,29.4,0.0,21.4,0.1,33.3,0.5,41.9,0.6,37.7
Wilson Chandler,LAC,F,0.7,58.3,0.1,31.6,0.1,35.7,0.1,38.9,0.4,38.5,0.8,38.0
Jordan McRae,WAS,G,0.9,66.7,0.2,54.5,0.3,38.9,0.6,51.9,0.2,28.6,0.3,30.4
Yogi Ferrell,SAC,G,0.7,54.1,0.1,45.5,0.3,44.2,0.3,47.6,0.4,37.8,0.4,36.0
Omari Spellman,ATL,F,1.0,49.5,0.0,16.7,0.0,16.7,0.0,50.0,0.6,41.8,0.4,28.1
Aaron Holiday,IND,G,0.6,58.2,0.2,31.8,0.1,31.3,0.3,41.2,0.3,40.6,0.7,34.7
Matthew Dellavedova,CLE,G,0.4,54.1,0.4,48.8,0.2,40.0,0.1,40.0,0.2,40.7,0.7,32.7
Nik Stauskas,CLE,G,0.5,46.3,0.0,22.2,0.2,48.0,0.2,52.0,0.4,30.8,0.6,41.2
Meyers Leonard,POR,F-C,1.1,71.4,0.1,41.7,0.1,47.1,0.1,33.3,0.3,55.6,0.5,41.3
D.J. Wilson,MIL,F,0.8,53.4,0.1,38.9,0.2,38.9,0.1,25.0,0.5,38.3,0.5,36.2
Juancho Hernangomez,DEN,F,0.9,60.4,0.0,12.5,0.0,50.0,0.0,33.3,0.6,35.5,0.4,39.7
Ed Davis,BKN,C,2.2,64.3,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Furkan Korkmaz,PHI,G-F,0.7,66.7,0.1,40.0,0.2,35.0,0.1,25.0,0.4,43.2,0.7,30.8
Mike Scott,PHI,F,0.4,47.8,0.1,23.3,0.2,52.2,0.1,37.5,0.6,40.4,0.7,40.3
Ivan Rabb,MEM,F,1.6,66.4,0.4,62.5,0.1,40.0,0.2,29.6,0.0,15.4,0.1,33.3
Elie Okobo,PHX,G,0.9,58.1,0.1,30.0,0.2,41.4,0.1,30.4,0.3,40.0,0.5,26.3
Torrey Craig,DEN,F,1.2,62.8,0.1,42.1,0.1,50.0,0.0,11.1,0.5,33.1,0.3,30.9
Frank Ntilikina,NYK,G,0.5,46.0,0.2,30.8,0.3,32.6,0.3,41.4,0.4,27.9,0.5,29.9
Andre Iguodala,GSW,F-G,1.4,82.1,0.0,0.0,0.1,30.8,0.1,29.4,0.4,37.7,0.3,28.4
Daniel Theis,BOS,F,1.5,72.5,0.1,33.3,0.1,33.3,0.1,28.6,0.1,35.0,0.3,41.2
John Henson,CLE,F,1.2,63.0,0.2,42.9,0.0,0.0,0.0,0.0,0.3,33.3,0.5,38.9
Aron Baynes,BOS,C-F,1.3,55.4,0.1,41.2,0.1,46.2,0.1,36.4,0.1,43.8,0.3,31.1
Chasson Randle,WAS,G,0.8,54.3,0.1,28.6,0.0,16.7,0.0,18.2,0.2,32.4,0.7,42.3
Jakob Poeltl,SAS,C,2.1,68.5,0.2,45.0,0.1,50.0,0.0,50.0,0.0,100.0,0.0,0.0
Damian Jones,GSW,C,2.0,73.1,0.1,100.0,0.0,0.0,0.1,100.0,0.0,0.0,0.0,0.0
Alex Abrines,OKC,G,0.3,55.6,0.0,0.0,0.0,0.0,0.1,40.0,0.7,37.9,0.7,30.4
Raul Neto,UTA,G,1.0,63.3,0.2,40.0,0.2,42.1,0.1,50.0,0.3,28.9,0.2,39.1
Troy Williams,SAC,F,1.2,63.4,0.2,37.5,0.0,0.0,0.0,33.3,0.3,35.3,0.4,28.6
Treveon Graham,BKN,F,0.4,50.0,0.1,29.4,0.2,44.4,0.0,0.0,0.4,24.1,0.7,34.8
Tim Frazier,MIL,G,0.9,55.6,0.1,38.5,0.2,44.4,0.1,33.3,0.3,40.0,0.4,36.1
Chandler Hutchison,CHI,F,1.4,58.7,0.4,41.5,0.0,0.0,0.1,66.7,0.2,34.5,0.1,22.2
Royce O'Neale,UTA,F,1.0,64.7,0.0,22.2,0.0,25.0,0.0,50.0,0.5,40.0,0.3,41.7
Alex Poythress,ATL,F,1.4,56.6,0.0,33.3,0.0,0.0,0.0,0.0,0.4,42.1,0.0,25.0
Brandon Sampson,CHI,G,0.9,63.2,0.5,50.0,0.0,0.0,0.0,0.0,0.4,41.7,0.5,35.3
Jalen Jones,CLE,F,0.8,65.0,0.1,25.0,0.1,50.0,0.0,0.0,0.2,30.0,0.4,33.3
Thon Maker,DET,F,0.8,60.0,0.1,28.6,0.0,33.3,0.0,14.3,0.5,37.5,0.3,27.0
Keita Bates-Diop,MIN,F,1.2,71.2,0.1,26.7,0.1,22.2,0.1,40.0,0.2,25.0,0.2,22.2
Anthony Tolliver,MIN,F,0.2,46.2,0.0,25.0,0.0,0.0,0.0,75.0,0.5,31.3,0.8,43.1
Cameron Reynolds,MIN,G,0.2,36.4,0.1,50.0,0.3,71.4,0.0,0.0,0.6,35.5,0.6,52.4
De'Anthony Melton,PHX,G,0.9,56.6,0.2,27.6,0.2,50.0,0.1,16.7,0.3,34.0,0.3,26.4
Dragan Bender,PHX,F,1.3,74.7,0.1,40.0,0.0,0.0,0.0,0.0,0.2,22.4,0.2,21.2
Wes Iwundu,ORL,F,0.9,52.7,0.1,21.1,0.1,40.9,0.1,21.4,0.3,36.4,0.2,41.0
Marcin Gortat,LAC,C,1.5,61.5,0.3,42.9,0.2,37.9,0.0,20.0,0.0,0.0,0.0,0.0
Nerlens Noel,OKC,F-C,1.6,70.6,0.2,39.1,0.2,39.4,0.1,30.0,0.0,0.0,0.0,0.0
Corey Brewer,SAC,G-F,1.2,63.2,0.0,8.3,0.0,20.0,0.0,50.0,0.2,24.1,0.2,41.2
Jared Dudley,BKN,F,0.6,57.4,0.1,37.5,0.0,50.0,0.1,50.0,0.4,40.0,0.5,33.3
Donte DiVincenzo,MIL,G,1.0,78.8,0.0,0.0,0.0,50.0,0.0,0.0,0.3,34.8,0.6,25.0
Khem Birch,ORL,C,1.5,66.4,0.3,47.1,0.0,66.7,0.0,0.0,0.0,0.0,0.0,0.0
Michael Carter-Williams,ORL,G,0.9,45.5,0.3,40.9,0.1,33.3,0.0,0.0,0.2,40.0,0.1,17.4
Troy Brown Jr.,WAS,F,1.0,62.5,0.2,26.5,0.1,15.8,0.2,40.9,0.3,40.0,0.3,27.9
Devonte' Graham,CHA,G,0.6,50.0,0.0,28.6,0.1,28.6,0.2,33.3,0.3,37.1,0.5,28.2
Jonah Bolden,PHI,F,1.0,78.6,0.0,25.0,0.0,0.0,0.0,0.0,0.3,32.4,0.5,38.1
Alfonzo McKinnie,GSW,F,1.1,66.1,0.1,26.7,0.1,50.0,0.0,33.3,0.4,32.1,0.3,40.9
John Jenkins,NYK,G,0.2,66.7,0.0,33.3,0.1,40.0,0.2,27.3,0.6,46.7,0.6,38.5
Timothe Luwawu-Cabarrot,CHI,G-F,0.8,53.4,0.0,0.0,0.0,28.6,0.1,23.1,0.6,39.4,0.3,23.5
Lance Thomas,NYK,F,0.7,59.3,0.1,31.3,0.1,28.6,0.2,58.3,0.5,31.2,0.1,25.0
Jevon Carter,MEM,G,0.2,28.6,0.1,37.5,0.1,25.0,0.1,21.7,0.4,35.4,0.5,32.2
Bismack Biyombo,CHA,C,1.3,63.7,0.2,40.9,0.1,41.7,0.1,42.9,0.0,0.0,0.0,0.0
Shake Milton,PHI,G,0.6,54.5,0.1,25.0,0.2,60.0,0.1,33.3,0.5,40.9,0.3,25.0
Solomon Hill,NOP,F,0.7,56.9,0.0,20.0,0.1,50.0,0.0,0.0,0.4,34.8,0.4,30.4
Bruce Brown,DET,G,1.1,49.1,0.2,34.2,0.0,37.5,0.0,25.0,0.2,34.0,0.1,19.0
Jaron Blossomgame,CLE,F,1.2,69.6,0.0,9.1,0.1,42.9,0.0,0.0,0.2,25.0,0.2,28.6
Glenn Robinson III,DET,G-F,0.7,58.2,0.2,42.9,0.1,17.6,0.2,50.0,0.3,34.9,0.2,30.4
Jerian Grant,ORL,G,0.3,66.7,0.1,28.6,0.1,25.0,0.4,58.3,0.3,34.9,0.4,35.1
Ian Mahinmi,WAS,C,1.0,54.8,0.3,43.5,0.0,0.0,0.0,0.0,0.1,20.0,0.0,16.7
Shaun Livingston,GSW,G,0.7,60.5,0.3,57.1,0.5,43.4,0.2,47.6,0.0,0.0,0.0,0.0
Courtney Lee,DAL,G,0.4,54.5,0.1,55.6,0.2,42.9,0.3,45.8,0.5,45.7,0.1,12.0
Cristiano Felicio,CHI,F-C,1.4,59.3,0.1,31.6,0.1,42.9,0.1,42.9,0.0,0.0,0.0,0.0
Pau Gasol,MIL,C-F,0.7,51.3,0.2,35.7,0.1,40.0,0.2,38.5,0.1,40.0,0.1,50.0
Zaza Pachulia,DET,C,0.9,52.5,0.0,15.0,0.1,58.3,0.2,33.3,0.0,0.0,0.0,0.0
Thabo Sefolosha,UTA,F,0.5,57.8,0.1,50.0,0.0,40.0,0.1,66.7,0.5,40.0,0.2,44.4
Rawle Alkins,CHI,G,0.9,37.5,0.1,50.0,0.0,0.0,0.0,0.0,0.3,50.0,0.1,14.3
Patrick Patterson,OKC,F,0.3,53.8,0.1,27.8,0.1,38.9,0.0,20.0,0.5,38.5,0.3,30.0
Nene,HOU,C-F,1.0,66.2,0.1,21.4,0.1,33.3,0.2,42.9,0.0,40.0,0.0,0.0
Andrew Bogut,GSW,C,1.3,56.0,0.2,33.3,0.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Briscoe,ORL,G,0.8,60.4,0.1,25.0,0.0,0.0,0.2,36.4,0.2,21.9,0.2,37.5
Wesley Johnson,WAS,F-G,0.3,71.4,0.0,33.3,0.0,14.3,0.1,26.3,0.5,29.7,0.2,42.9
Jaylen Adams,ATL,G,0.2,44.4,0.0,0.0,0.0,20.0,0.1,33.3,0.3,31.0,0.5,38.3
Tyson Chandler,LAL,C,1.1,65.2,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dante Cunningham,SAS,F,0.5,58.8,0.1,42.1,0.1,71.4,0.0,7.7,0.4,43.4,0.1,57.1
Gary Clark,HOU,F,0.2,80.0,0.0,50.0,0.0,0.0,0.0,0.0,0.2,21.8,0.6,35.4
Dairis Bertans,NOP,G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,29.4,0.6,28.0
Patrick McCaw,TOR,G,0.5,56.0,0.1,33.3,0.0,0.0,0.0,50.0,0.3,56.3,0.0,0.0
Ryan Anderson,MIA,F,0.3,50.0,0.0,0.0,0.0,16.7,0.1,40.0,0.3,31.6,0.2,20.8
Jose Calderon,DET,G,0.2,44.4,0.0,100.0,0.0,33.3,0.4,54.3,0.2,36.8,0.2,20.0
Julian Washburn,MEM,F-G,0.3,57.1,0.1,50.0,0.1,40.0,0.2,60.0,0.2,23.5,0.1,18.2
Quincy Acy,PHX,F,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,16.7,0.1,11.1
